school,school_id,district,district_id,percent_proficient,year
Brooklyn Primary School,2,Baker SD 5J,1894,0.44954128440366975,2017-2018
Haines Elementary School,4,Baker SD 5J,1894,0.8636363636363636,2017-2018
Pine Eagle Charter School,15,Pine Eagle SD 61,1897,0.5833333333333334,2017-2018
Alsea Charter School,17,Alsea SD 7J,1899,0.3333333333333333,2017-2018
Blodgett Elementary School,18,Philomath SD 17J,1900,0.6666666666666666,2017-2018
Philomath Elementary School,20,Philomath SD 17J,1900,0.43023255813953487,2017-2018
Adams Elementary School,27,Corvallis SD 509J,1901,0.5285714285714286,2017-2018
Garfield Elementary School,30,Corvallis SD 509J,1901,0.4473684210526316,2017-2018
Hoover Elementary School,33,Corvallis SD 509J,1901,0.8870967741935484,2017-2018
Jefferson Elementary School,35,Corvallis SD 509J,1901,0.6511627906976745,2017-2018
Lincoln Elementary School,36,Corvallis SD 509J,1901,0.4482758620689655,2017-2018
Mt View Elementary School,37,Corvallis SD 509J,1901,0.43548387096774194,2017-2018
Wilson Elementary School,39,Corvallis SD 509J,1901,0.6811594202898551,2017-2018
Cedaroak Park Primary School,45,West Linn-Wilsonville SD 3J,1922,0.6222222222222222,2017-2018
Stafford Primary School,47,West Linn-Wilsonville SD 3J,1922,0.6329113924050633,2017-2018
Sunset Primary School,48,West Linn-Wilsonville SD 3J,1922,0.8620689655172413,2017-2018
Forest Hills Elementary School,53,Lake Oswego SD 7J,1923,0.8961038961038961,2017-2018
Hallinan Elementary School,54,Lake Oswego SD 7J,1923,0.8923076923076924,2017-2018
Lake Grove Elementary School,55,Lake Oswego SD 7J,1923,0.8153846153846154,2017-2018
River Grove Elementary School,56,Lake Oswego SD 7J,1923,0.723404255319149,2017-2018
Westridge Elementary School,58,Lake Oswego SD 7J,1923,0.9315068493150684,2017-2018
Bilquist Elementary School,65,North Clackamas SD 12,1924,0.48148148148148145,2017-2018
Whitcomb Elementary School,72,North Clackamas SD 12,1924,0.1388888888888889,2017-2018
Milwaukie Elementary School,73,North Clackamas SD 12,1924,0.56,2017-2018
Riverside Elementary School,76,North Clackamas SD 12,1924,0.5,2017-2018
Sunnyside Elementary School,78,North Clackamas SD 12,1924,0.5225225225225225,2017-2018
View Acres Elementary School,79,North Clackamas SD 12,1924,0.32075471698113206,2017-2018
Welches Elementary School,88,Oregon Trail SD 46,1926,0.5151515151515151,2017-2018
Deep Creek – Damascus K-8 School,90,Gresham-Barlow SD 10J,2183,0.24242424242424243,2017-2018
Carus School,92,Canby SD 86,1929,0.5178571428571429,2017-2018
Clarkes Elementary School,93,Molalla River SD 35,1925,0.4090909090909091,2017-2018
Molalla Elementary School,94,Molalla River SD 35,1925,0.36923076923076925,2017-2018
Naas Elementary School,96,Oregon Trail SD 46,1926,0.26785714285714285,2017-2018
Kelso Elementary School,99,Oregon Trail SD 46,1926,0.5245901639344263,2017-2018
Sandy Grade School,100,Oregon Trail SD 46,1926,0.543859649122807,2017-2018
Firwood Elementary School,101,Oregon Trail SD 46,1926,0.5735294117647058,2017-2018
Colton Elementary School,103,Colton SD 53,1927,0.37254901960784315,2017-2018
Beavercreek Elementary School,105,Oregon City SD 62,1928,0.5333333333333333,2017-2018
Candy Lane Elementary School,106,Oregon City SD 62,1928,0.2692307692307692,2017-2018
Holcomb Elementary School,107,Oregon City SD 62,1928,0.3561643835616438,2017-2018
Gaffney Lane Elementary School,109,Oregon City SD 62,1928,0.40217391304347827,2017-2018
John McLoughlin Elementary School,114,Oregon City SD 62,1928,0.4954954954954955,2017-2018
Butte Creek Elementary School,119,Silver Falls SD 4J,2138,0.18181818181818182,2017-2018
Mulino Elementary School,121,Molalla River SD 35,1925,0.6491228070175439,2017-2018
William Knight Elementary School,122,Canby SD 86,1929,0.7073170731707317,2017-2018
Howard Eccles Elementary School,124,Canby SD 86,1929,0.6338028169014085,2017-2018
Ninety-One School,127,Canby SD 86,1929,0.5961538461538461,2017-2018
Rural Dell Elementary School,128,Molalla River SD 35,1925,0.325,2017-2018
Clackamas River Elementary School,131,Estacada SD 108,1930,0.3902439024390244,2017-2018
River Mill Elementary School,132,Estacada SD 108,1930,0.2727272727272727,2017-2018
John Wetten Elementary School,136,Gladstone SD 115,1931,0.647887323943662,2017-2018
Redland Elementary School,139,Oregon City SD 62,1928,0.3626373626373626,2017-2018
Lewis & Clark Elementary School,147,Astoria SD 1,1933,0.5,2017-2018
Seaside Heights Elementary School,152,Seaside SD 10,1935,0.4050632911392405,2017-2018
Gearhart Elementary School,153,Seaside SD 10,1935,0.49056603773584906,2017-2018
Warrenton Grade School,156,Warrenton-Hammond SD 30,1936,0.6351351351351351,2017-2018
Grant Watts Elementary School,158,Scappoose SD 1J,1944,0.33980582524271846,2017-2018
Warren Elementary School,160,Scappoose SD 1J,1944,0.54,2017-2018
Clatskanie Elementary School,163,Clatskanie SD 6J,1945,0.25925925925925924,2017-2018
Hilda Lahti Elementary School,166,Knappa SD 4,2262,0.1388888888888889,2017-2018
Hudson Park Elementary School,171,Rainier SD 13,1946,0.30985915492957744,2017-2018
Vernonia Elementary School,177,Vernonia SD 47J,1947,0.4444444444444444,2017-2018
Columbia City School,179,St Helens SD 502,1948,0.4666666666666667,2017-2018
McBride Elementary School,182,St Helens SD 502,1948,0.24719101123595505,2017-2018
Blossom Gulch Elementary School,192,Coos Bay SD 9,1965,0.3356164383561644,2017-2018
Madison Elementary School,196,Coos Bay SD 9,1965,0.2828282828282828,2017-2018
Hillcrest Elementary School,204,North Bend SD 13,1966,0.5352112676056338,2017-2018
North Bay Elementary School,205,North Bend SD 13,1966,0.6,2017-2018
Powers Elementary School,210,Powers SD 31,1967,0.17647058823529413,2017-2018
Myrtle Crest School,214,Myrtle Point SD 41,1968,0.325,2017-2018
Ocean Crest Elementary School,217,Bandon SD 54,1969,0.24074074074074073,2017-2018
Crooked River Elementary School,219,Crook County SD,1970,0.5,2017-2018
Powell Butte Community Charter School,223,Crook County SD,1970,0.7777777777777778,2017-2018
Driftwood Elementary School,228,Port Orford-Langlois SD 2CJ,1973,0.6111111111111112,2017-2018
Riley Creek Elementary School,231,Central Curry SD 1,1972,0.6060606060606061,2017-2018
Kalmiopsis Elementary School,236,Brookings-Harbor SD 17C,1974,0.36893203883495146,2017-2018
Bear Creek Elementary School,241,Bend-LaPine Administrative SD 1,1976,0.43564356435643564,2017-2018
LaPine Elementary School,245,Bend-LaPine Administrative SD 1,1976,0.417910447761194,2017-2018
Juniper Elementary School,246,Bend-LaPine Administrative SD 1,1976,0.6379310344827587,2017-2018
R E Jewell Elementary School,247,Bend-LaPine Administrative SD 1,1976,0.5595238095238095,2017-2018
Buckingham Elementary School,250,Bend-LaPine Administrative SD 1,1976,0.7684210526315789,2017-2018
Sage Elementary School,256,Redmond SD 2J,1977,0.7522935779816514,2017-2018
John Tuck Elementary School,258,Redmond SD 2J,1977,0.36363636363636365,2017-2018
M A Lynch Elementary School,259,Redmond SD 2J,1977,0.43478260869565216,2017-2018
Terrebonne Community School,260,Redmond SD 2J,1977,0.603448275862069,2017-2018
Tumalo Community School,261,Redmond SD 2J,1977,0.7115384615384616,2017-2018
Sisters Elementary School,264,Sisters SD 6,1978,0.5208333333333334,2017-2018
Oakland Elementary School,267,Oakland SD 1,1990,0.35555555555555557,2017-2018
Eastwood Elementary School,269,Douglas County SD 4,1991,0.44776119402985076,2017-2018
Fir Grove Elementary School,270,Douglas County SD 4,1991,0.6888888888888889,2017-2018
Fullerton IV Elementary School,271,Douglas County SD 4,1991,0.26,2017-2018
Green Elementary School,272,Douglas County SD 4,1991,0.1951219512195122,2017-2018
Hucrest Elementary School,273,Douglas County SD 4,1991,0.5454545454545454,2017-2018
Melrose Elementary School,274,Douglas County SD 4,1991,0.5844155844155844,2017-2018
Sunnyslope Elementary School,276,Douglas County SD 4,1991,0.42857142857142855,2017-2018
Winchester Elementary,277,Douglas County SD 4,1991,0.28205128205128205,2017-2018
