school,school_id,district,district_id,percent_proficient,year
Glide Elementary School,282,Glide SD 12,1992,0.5507246376811594,2017-2018
Canyonville School,289,South Umpqua SD 19,1994,0.6666666666666666,2017-2018
Myrtle Creek Elementary School,290,South Umpqua SD 19,1994,0.12727272727272726,2017-2018
Tri City Elementary School,292,South Umpqua SD 19,1994,0.34210526315789475,2017-2018
North Douglas Elementary School,296,North Douglas SD 22,1996,0.35714285714285715,2017-2018
Yoncalla Elementary School,299,Yoncalla SD 32,1997,0.14285714285714285,2017-2018
Elkton Charter School,302,Elkton SD 34,1998,0.4444444444444444,2017-2018
Riddle Elementary School,304,Riddle SD 70,1999,0.2777777777777778,2017-2018
Glendale Elementary School,306,Glendale SD 77,2000,0.08333333333333333,2017-2018
Highland Elementary School,309,Reedsport SD 105,2001,0.3333333333333333,2017-2018
Lookingglass Elementary School,313,Winston-Dillard SD 116,2002,0.42857142857142855,2017-2018
East Sutherlin Primary School,318,Sutherlin SD 130,2003,0.3333333333333333,2017-2018
Arlington Community Charter School,323,Arlington SD 3,2005,0.5,2017-2018
Condon Elementary School,325,Condon SD 25J,2006,0.6,2017-2018
Humbolt Elementary School,327,John Day SD 3,2008,0.34210526315789475,2017-2018
Seneca Elementary School,330,John Day SD 3,2008,0.5,2017-2018
Henry L Slater Elementary School,342,Harney County SD 3,2014,0.45714285714285713,2017-2018
Crane Elementary School,346,Harney County SD 4,2015,0.4166666666666667,2017-2018
May Street Elementary School,362,Hood River County SD,2024,0.5384615384615384,2017-2018
Mid Valley Elementary School,363,Hood River County SD,2024,0.5925925925925926,2017-2018
Parkdale Elementary School,364,Hood River County SD,2024,0.3939393939393939,2017-2018
Westside Elementary School,366,Hood River County SD,2024,0.578125,2017-2018
Orchard Hill Elementary School,370,Phoenix-Talent SD 4,2039,0.2987012987012987,2017-2018
Phoenix Elementary School,371,Phoenix-Talent SD 4,2039,0.11940298507462686,2017-2018
Talent Elementary School,372,Phoenix-Talent SD 4,2039,0.3188405797101449,2017-2018
Bellview Elementary School,375,Ashland SD 5,2041,0.4444444444444444,2017-2018
Helman Elementary School,377,Ashland SD 5,2041,0.6730769230769231,2017-2018
Walker Elementary School,379,Ashland SD 5,2041,0.39622641509433965,2017-2018
Central Point Elementary School,382,Central Point SD 6,2042,0.35526315789473684,2017-2018
Jewett Elementary School,383,Central Point SD 6,2042,0.3925233644859813,2017-2018
Patrick Elementary School,384,Central Point SD 6,2042,0.358974358974359,2017-2018
Richardson Elementary School,385,Central Point SD 6,2042,0.29850746268656714,2017-2018
Sams Valley Elementary School,386,Central Point SD 6,2042,0.21666666666666667,2017-2018
Hillside Elementary,390,Eagle Point SD 9,2043,0.33707865168539325,2017-2018
Shady Cove School,393,Eagle Point SD 9,2043,0.29411764705882354,2017-2018
Table Rock Elementary,394,Eagle Point SD 9,2043,0.23387096774193547,2017-2018
Rogue River Elementary School,399,Rogue River SD 35,2044,0.5909090909090909,2017-2018
Applegate Elementary School,402,Three Rivers/Josephine County SD,2055,0.6875,2017-2018
Butte Falls Charter School,406,Butte Falls SD 91,2046,0.1875,2017-2018
Griffin Creek Elementary School,408,Medford SD 549C,2048,0.6136363636363636,2017-2018
Hoover Elementary School,409,Medford SD 549C,2048,0.6,2017-2018
Howard Elementary School,410,Medford SD 549C,2048,0.5079365079365079,2017-2018
Jackson Elementary School,411,Medford SD 549C,2048,0.45901639344262296,2017-2018
Jacksonville Elementary School,412,Medford SD 549C,2048,0.7358490566037735,2017-2018
Jefferson Elementary School,413,Medford SD 549C,2048,0.5370370370370371,2017-2018
Lone Pine Elementary School,414,Medford SD 549C,2048,0.6842105263157895,2017-2018
Oak Grove Elementary School,415,Medford SD 549C,2048,0.35443037974683544,2017-2018
Kennedy Elementary School,416,Medford SD 549C,2048,0.375,2017-2018
Roosevelt Elementary School,417,Medford SD 549C,2048,0.21568627450980393,2017-2018
Ruch Elementary School,418,Medford SD 549C,2048,0.6470588235294118,2017-2018
Washington Elementary School,419,Medford SD 549C,2048,0.18333333333333332,2017-2018
Wilson Elementary School,420,Medford SD 549C,2048,0.5844155844155844,2017-2018
Culver Elementary School,425,Culver SD 4,2050,0.5490196078431373,2017-2018
Buff Elementary School,429,Jefferson County SD 509J,2053,0.43636363636363634,2017-2018
Madras Elementary School,430,Jefferson County SD 509J,2053,0.43037974683544306,2017-2018
Metolius Elementary School,431,Jefferson County SD 509J,2053,0.4222222222222222,2017-2018
Warm Springs K-8 Academy,432,Jefferson County SD 509J,2053,0.36231884057971014,2017-2018
Allen Dale Elementary School,435,Grants Pass SD 7,2054,0.4805194805194805,2017-2018
Highland Elementary School,436,Grants Pass SD 7,2054,0.5189873417721519,2017-2018
Lincoln Elementary School,437,Grants Pass SD 7,2054,0.4794520547945205,2017-2018
Redwood Elementary School,439,Grants Pass SD 7,2054,0.4470588235294118,2017-2018
Riverside Elementary School,440,Grants Pass SD 7,2054,0.3333333333333333,2017-2018
Evergreen Elementary School,443,Three Rivers/Josephine County SD,2055,0.3375,2017-2018
Fruitdale Elementary School,445,Three Rivers/Josephine County SD,2055,0.4262295081967213,2017-2018
Ft Vannoy Elementary School,446,Three Rivers/Josephine County SD,2055,0.20930232558139536,2017-2018
Madrona Elementary School,450,Three Rivers/Josephine County SD,2055,0.5172413793103449,2017-2018
Manzanita Elementary School,451,Three Rivers/Josephine County SD,2055,0.3148148148148148,2017-2018
Williams Elementary School,453,Three Rivers/Josephine County SD,2055,0.1111111111111111,2017-2018
Joseph Conger Elementary School,459,Klamath Falls City Schools,2056,0.3387096774193548,2017-2018
Mills Elementary School,461,Klamath Falls City Schools,2056,0.22807017543859648,2017-2018
Pelican Elementary School,462,Klamath Falls City Schools,2056,0.37254901960784315,2017-2018
Roosevelt Elementary School,465,Klamath Falls City Schools,2056,0.6274509803921569,2017-2018
Bonanza Elementary School,467,Klamath County SD,2057,0.17391304347826086,2017-2018
Chiloquin Elementary School,468,Klamath County SD,2057,0.46153846153846156,2017-2018
Ferguson Elementary School,470,Klamath County SD,2057,0.6451612903225806,2017-2018
Gilchrist Elementary School,472,Klamath County SD,2057,0.17647058823529413,2017-2018
Henley Elementary School,473,Klamath County SD,2057,0.4772727272727273,2017-2018
Keno Elementary School,474,Klamath County SD,2057,0.6785714285714286,2017-2018
Malin Elementary School,475,Klamath County SD,2057,0.3333333333333333,2017-2018
Merrill Elementary School,476,Klamath County SD,2057,0.4444444444444444,2017-2018
Peterson Elementary School,477,Klamath County SD,2057,0.4387755102040816,2017-2018
Shasta Elementary School,478,Klamath County SD,2057,0.5,2017-2018
Stearns Elementary School,479,Klamath County SD,2057,0.4,2017-2018
Fremont/Hay Elementary School,490,Lake County SD 7,2059,0.5192307692307693,2017-2018
Pleasant Hill Elementary School,500,Pleasant Hill SD 1,2081,0.4153846153846154,2017-2018
Adams Elementary School,503,Eugene SD 4J,2082,0.5714285714285714,2017-2018
Awbrey Park Elementary School,504,Eugene SD 4J,2082,0.5846153846153846,2017-2018
Coburg Community Charter School,507,Eugene SD 4J,2082,0.84,2017-2018
Edison Elementary School,510,Eugene SD 4J,2082,0.7674418604651163,2017-2018
Gilham Elementary School,513,Eugene SD 4J,2082,0.4,2017-2018
Howard Elementary School,515,Eugene SD 4J,2082,0.31645569620253167,2017-2018
McCornack Elementary School,522,Eugene SD 4J,2082,0.2807017543859649,2017-2018
River Road/El Camino del Rio Elementary School,525,Eugene SD 4J,2082,0.20967741935483872,2017-2018
Spring Creek Elementary School,529,Eugene SD 4J,2082,0.3695652173913043,2017-2018
Twin Oaks Elementary School,530,Eugene SD 4J,2082,0.40476190476190477,2017-2018
Willagillespie Elementary School,534,Eugene SD 4J,2082,0.6455696202531646,2017-2018
Centennial Elementary School,544,Springfield SD 19,2083,0.5217391304347826,2017-2018
Douglas Gardens Elementary School,545,Springfield SD 19,2083,0.5970149253731343,2017-2018
Elizabeth Page Elementary School,546,Springfield SD 19,2083,0.41818181818181815,2017-2018
Guy Lee Elementary School,548,Springfield SD 19,2083,0.16666666666666666,2017-2018
Maple Elementary School,550,Springfield SD 19,2083,0.3409090909090909,2017-2018
Ridgeview Elementary School,553,Springfield SD 19,2083,0.4520547945205479,2017-2018
Mt Vernon Elementary School,554,Springfield SD 19,2083,0.53125,2017-2018
Thurston Elementary School,556,Springfield SD 19,2083,0.5063291139240507,2017-2018
Walterville Elementary School,558,Springfield SD 19,2083,0.6451612903225806,2017-2018
Yolanda Elementary School,559,Springfield SD 19,2083,0.7777777777777778,2017-2018
Elmira Elementary School,563,Fern Ridge SD 28J,2084,0.6363636363636364,2017-2018
Veneta Elementary School,566,Fern Ridge SD 28J,2084,0.3541666666666667,2017-2018
Mapleton Elementary School,568,Mapleton SD 32,2085,0.25,2017-2018
Creslane Elementary School,570,Creswell SD 40,2086,0.5943396226415094,2017-2018
Bohemia Elementary School,573,South Lane SD 45J3,2087,0.3125,2017-2018
Dorena School,574,South Lane SD 45J3,2087,0.25,2017-2018
Harrison Elementary School,576,South Lane SD 45J3,2087,0.42105263157894735,2017-2018
Latham Elementary School,577,South Lane SD 45J3,2087,0.3,2017-2018
London School,578,South Lane SD 45J3,2087,0.5555555555555556,2017-2018
Clear Lake Elementary School,582,Bethel SD 52,2088,0.3170731707317073,2017-2018
Danebo Elementary School,583,Bethel SD 52,2088,0.46808510638297873,2017-2018
Fairfield Elementary School,584,Bethel SD 52,2088,0.26785714285714285,2017-2018
Irving Elementary School,585,Bethel SD 52,2088,0.6266666666666667,2017-2018
Malabon Elementary School,586,Bethel SD 52,2088,0.24,2017-2018
Applegate Elementary School,589,Crow-Applegate-Lorane SD 66,2089,0.46153846153846156,2017-2018
McKenzie Elementary School,593,McKenzie SD 68,2090,0.42857142857142855,2017-2018
Laurel Elementary School,595,Junction City SD 69,2091,0.5217391304347826,2017-2018
Lundy Elementary School,598,Lowell SD 71,2092,0.52,2017-2018
Oakridge Elementary School,600,Oakridge SD 76,2093,0.358974358974359,2017-2018
Marcola Elementary School,603,Marcola SD 79J,2094,0.5294117647058824,2017-2018
Siuslaw Elementary School,609,Siuslaw SD 97J,2096,0.5119047619047619,2017-2018
Toledo Elementary School,611,Lincoln County SD,2097,0.3050847457627119,2017-2018
Taft Elementary School,620,Lincoln County SD,2097,0.3130434782608696,2017-2018
Crestview Heights School,623,Lincoln County SD,2097,0.1891891891891892,2017-2018
Sam Case Elementary,625,Lincoln County SD,2097,0.49324324324324326,2017-2018
Central Elementary School,631,Greater Albany Public SD 8J,2100,0.34,2017-2018
Periwinkle Elementary School,636,Greater Albany Public SD 8J,2100,0.25,2017-2018
North Albany Elementary School,637,Greater Albany Public SD 8J,2100,0.5833333333333334,2017-2018
Oak Grove Elementary School,639,Greater Albany Public SD 8J,2100,0.6666666666666666,2017-2018
Lafayette Elementary School,640,Greater Albany Public SD 8J,2100,0.4423076923076923,2017-2018
Liberty Elementary School,641,Greater Albany Public SD 8J,2100,0.543859649122807,2017-2018
Oak Elementary School,643,Greater Albany Public SD 8J,2100,0.7708333333333334,2017-2018
Sunrise Elementary School,644,Greater Albany Public SD 8J,2100,0.12,2017-2018
South Shore Elementary School,645,Greater Albany Public SD 8J,2100,0.29850746268656714,2017-2018
Tangent Elementary School,646,Greater Albany Public SD 8J,2100,0.25925925925925924,2017-2018
Waverly Elementary School,648,Greater Albany Public SD 8J,2100,0.6341463414634146,2017-2018
Cascades School,652,Lebanon Community SD 9,2101,0.40384615384615385,2017-2018
Green Acres School,653,Lebanon Community SD 9,2101,0.3902439024390244,2017-2018
Mari-Linn Elementary School,656,North Santiam SD 29J,2143,0.3,2017-2018
Hamilton Creek School,658,Lebanon Community SD 9,2101,0.42857142857142855,2017-2018
Harrisburg Elementary School,659,Harrisburg SD 7J,2099,0.3409090909090909,2017-2018
Foster Elementary School,662,Sweet Home SD 55,2102,0.6666666666666666,2017-2018
Hawthorne Elementary School,663,Sweet Home SD 55,2102,0.1875,2017-2018
Holley Elementary School,664,Sweet Home SD 55,2102,0.2857142857142857,2017-2018
Oak Heights Elementary School,666,Sweet Home SD 55,2102,0.3333333333333333,2017-2018
Lacomb School,671,Lebanon Community SD 9,2101,0.7368421052631579,2017-2018
Centennial Elementary School,676,Scio SD 95,2103,0.4,2017-2018
Santiam Elementary School,681,Santiam Canyon SD 129J,2104,0.19047619047619047,2017-2018
Alameda Elementary School,692,Ontario SD 8C,2108,0.23214285714285715,2017-2018
Cairo Elementary School,693,Ontario SD 8C,2108,0.34615384615384615,2017-2018
Aiken Elementary School,694,Ontario SD 8C,2108,0.2982456140350877,2017-2018
May Roberts Elementary School,696,Ontario SD 8C,2108,0.32653061224489793,2017-2018
Pioneer Elementary School,697,Ontario SD 8C,2108,0.16666666666666666,2017-2018
Vale Elementary School,701,Vale SD 84,2116,0.41935483870967744,2017-2018
Nyssa Elementary School,702,Nyssa SD 26,2110,0.2857142857142857,2017-2018
Annex Charter School,705,Annex SD 29,2111,0.625,2017-2018
Adrian Elementary School,707,Adrian SD 61,2113,0.5714285714285714,2017-2018
Robert Frost Elementary School,716,Silver Falls SD 4J,2138,0.4344262295081967,2017-2018
Sublimity Elementary School,717,North Santiam SD 29J,2143,0.6363636363636364,2017-2018
Aumsville Elementary School,719,Cascade SD 5,2139,0.4897959183673469,2017-2018
Jefferson Elementary School,721,Jefferson SD 14J,2140,0.28125,2017-2018
North Marion Intermediate School,724,North Marion SD 15,2141,0.3247863247863248,2017-2018
Auburn Elementary School,728,Salem-Keizer SD 24J,2142,0.23300970873786409,2017-2018
Brush College Elementary School,731,Salem-Keizer SD 24J,2142,0.4897959183673469,2017-2018
Bush Elementary School,732,Salem-Keizer SD 24J,2142,0.06976744186046512,2017-2018
Candalaria Elementary School,733,Salem-Keizer SD 24J,2142,0.7058823529411765,2017-2018
Clear Lake Elementary School,734,Salem-Keizer SD 24J,2142,0.6538461538461539,2017-2018
Cummings Elementary School,735,Salem-Keizer SD 24J,2142,0.24390243902439024,2017-2018
Englewood Elementary School,736,Salem-Keizer SD 24J,2142,0.5161290322580645,2017-2018
Wright Elementary School,737,Salem-Keizer SD 24J,2142,0.5238095238095238,2017-2018
Four Corners Elementary School,738,Salem-Keizer SD 24J,2142,0.14285714285714285,2017-2018
Grant Community School,740,Salem-Keizer SD 24J,2142,0.4067796610169492,2017-2018
Scott Elementary School,741,Salem-Keizer SD 24J,2142,0.2,2017-2018
Highland Elementary School,743,Salem-Keizer SD 24J,2142,0.22950819672131148,2017-2018
Hoover Elementary School,744,Salem-Keizer SD 24J,2142,0.2631578947368421,2017-2018
Gubser Elementary School,745,Salem-Keizer SD 24J,2142,0.4725274725274725,2017-2018
Kennedy Elementary School,746,Salem-Keizer SD 24J,2142,0.3055555555555556,2017-2018
Keizer Elementary School,747,Salem-Keizer SD 24J,2142,0.3162393162393162,2017-2018
Liberty Elementary School,749,Salem-Keizer SD 24J,2142,0.36538461538461536,2017-2018
McKinley Elementary School,750,Salem-Keizer SD 24J,2142,0.49122807017543857,2017-2018
Eyre Elementary School,751,Salem-Keizer SD 24J,2142,0.2235294117647059,2017-2018
Morningside Elementary School,753,Salem-Keizer SD 24J,2142,0.6428571428571429,2017-2018
Myers Elementary School,754,Salem-Keizer SD 24J,2142,0.3118279569892473,2017-2018
Hayesville Elementary School,755,Salem-Keizer SD 24J,2142,0.2608695652173913,2017-2018
Pringle Elementary School,756,Salem-Keizer SD 24J,2142,0.5340909090909091,2017-2018
Richmond Elementary School,757,Salem-Keizer SD 24J,2142,0.09375,2017-2018
Salem Heights Elementary School,759,Salem-Keizer SD 24J,2142,0.4186046511627907,2017-2018
Schirle Elementary School,760,Salem-Keizer SD 24J,2142,0.6376811594202898,2017-2018
Sumpter Elementary School,761,Salem-Keizer SD 24J,2142,0.5342465753424658,2017-2018
Swegle Elementary School,762,Salem-Keizer SD 24J,2142,0.2413793103448276,2017-2018
Washington Elementary School,763,Salem-Keizer SD 24J,2142,0.18571428571428572,2017-2018
Yoshikai Elementary School,764,Salem-Keizer SD 24J,2142,0.5673076923076923,2017-2018
Gervais Elementary School,776,Gervais SD 1,2137,0.4411764705882353,2017-2018
Victor Point Elementary School,777,Silver Falls SD 4J,2138,0.6818181818181818,2017-2018
St Paul Elementary School,778,St Paul SD 45,2144,0.21428571428571427,2017-2018
Pratum Elementary School,780,Silver Falls SD 4J,2138,0.3333333333333333,2017-2018
Bethany Charter School,784,Silver Falls SD 4J,2138,0.5333333333333333,2017-2018
Scotts Mills Elementary School,785,Silver Falls SD 4J,2138,0.42857142857142855,2017-2018
Stayton Elementary School,788,North Santiam SD 29J,2143,0.4519230769230769,2017-2018
Turner Elementary School,790,Cascade SD 5,2139,0.48148148148148145,2017-2018
St Marys Public School,793,Mt Angel SD 91,2145,0.43859649122807015,2017-2018
Silver Crest Elementary School,795,Silver Falls SD 4J,2138,0.5,2017-2018
Nellie Muir Elementary School,796,Woodburn SD 103,2146,0.17333333333333334,2017-2018
Washington Elementary School,797,Woodburn SD 103,2146,0.2,2017-2018
Cloverdale Elementary School,806,Cascade SD 5,2139,0.5833333333333334,2017-2018
Central Howell Elementary School,807,Silver Falls SD 4J,2138,0.6521739130434783,2017-2018
A C Houghton Elementary School,813,Morrow SD 1,2147,0.27710843373493976,2017-2018
Sam Boardman Elementary School,814,Morrow SD 1,2147,0.24705882352941178,2017-2018
Heppner Elementary School,815,Morrow SD 1,2147,0.5185185185185185,2017-2018
Abernethy Elementary School,822,Portland SD 1J,2180,0.6835443037974683,2017-2018
Ainsworth Elementary School,823,Portland SD 1J,2180,0.8,2017-2018
Alameda Elementary School,824,Portland SD 1J,2180,0.6788990825688074,2017-2018
Arleta Elementary School,826,Portland SD 1J,2180,0.5111111111111111,2017-2018
Astor Elementary School,827,Portland SD 1J,2180,0.6896551724137931,2017-2018
Atkinson Elementary School,828,Portland SD 1J,2180,0.4393939393939394,2017-2018
Rosa Parks Elementary School,829,Portland SD 1J,2180,0.2619047619047619,2017-2018
Beach Elementary School,830,Portland SD 1J,2180,0.5342465753424658,2017-2018
Boise-Eliot Elementary School,833,Portland SD 1J,2180,0.1111111111111111,2017-2018
Bridger Elementary School,834,Portland SD 1J,2180,0.4142857142857143,2017-2018
Bridlemile Elementary School,835,Portland SD 1J,2180,0.7582417582417582,2017-2018
Buckman Elementary School,837,Portland SD 1J,2180,0.5957446808510638,2017-2018
Capitol Hill Elementary School,838,Portland SD 1J,2180,0.6707317073170732,2017-2018
Chapman Elementary School,839,Portland SD 1J,2180,0.7159090909090909,2017-2018
Chief Joseph Elementary School,840,Portland SD 1J,2180,0.5,2017-2018
Cesar Chavez K-8 School,841,Portland SD 1J,2180,0.17543859649122806,2017-2018
Harrison Park School,842,Portland SD 1J,2180,0.21212121212121213,2017-2018
Creston Elementary School,843,Portland SD 1J,2180,0.5757575757575758,2017-2018
Duniway Elementary School,844,Portland SD 1J,2180,0.6875,2017-2018
Faubion Elementary School,847,Portland SD 1J,2180,0.07575757575757576,2017-2018
Glencoe Elementary School,850,Portland SD 1J,2180,0.6885245901639344,2017-2018
Grout Elementary School,854,Portland SD 1J,2180,0.41379310344827586,2017-2018
Hayhurst Elementary School,855,Portland SD 1J,2180,0.647887323943662,2017-2018
Beverly Cleary School,857,Portland SD 1J,2180,0.7553191489361702,2017-2018
Irvington Elementary School,861,Portland SD 1J,2180,0.6,2017-2018
James John Elementary School,862,Portland SD 1J,2180,0.3448275862068966,2017-2018
Kelly Elementary School,864,Portland SD 1J,2180,0.42045454545454547,2017-2018
Martin Luther King Jr. School,866,Portland SD 1J,2180,0.10638297872340426,2017-2018
Laurelhurst Elementary School,868,Portland SD 1J,2180,0.7733333333333333,2017-2018
Lee Elementary School,869,Portland SD 1J,2180,0.4222222222222222,2017-2018
Lent Elementary School,870,Portland SD 1J,2180,0.16129032258064516,2017-2018
Lewis Elementary School,871,Portland SD 1J,2180,0.5892857142857143,2017-2018
