school,school_id,district,district_id,percent_not_proficient_math,percent_chronically_absent
Cecile Trost Elementary School,1307,Canby SD 86,1929,0.759,0.07
Cedar Mill Elementary School,1158,Beaverton SD 48J,2243,0.29700000000000004,0.067
Cedaroak Park Primary School,45,West Linn-Wilsonville SD 3J,1922,0.316,0.077
Centennial Elementary School,544,Springfield SD 19,2083,0.687,0.172
Centennial Elementary School,676,Scio SD 95,2103,0.564,0.13
Central Elementary School,631,Greater Albany Public SD 8J,2100,0.727,0.273
Central Elementary School,1066,La Grande SD 1,2212,0.41200000000000003,0.275
Central Howell Elementary School,807,Silver Falls SD 4J,2138,0.35,NA
Central Linn Elementary School,1311,Central Linn SD 552,2105,0.405,0.132
Central Point Elementary School,382,Central Point SD 6,2042,0.695,0.102
Cesar Chavez Elementary School,4146,Eugene SD 4J,2082,0.6509999999999999,0.172
Cesar Chavez K-8 School,841,Portland SD 1J,2180,0.74,0.157
Cesar E Chavez Elem,5064,Salem-Keizer SD 24J,2142,0.688,0.191
Chapman Elementary School,839,Portland SD 1J,2180,0.302,0.157
Chapman Hill Elementary School,1244,Salem-Keizer SD 24J,2142,0.475,0.19399999999999998
Charlemagne French Immersion Elementary School,1240,Eugene SD 4J,2082,0.221,0.085
Charles F Tigard Elementary School,1136,Tigard-Tualatin SD 23J,2242,0.493,0.079
Chehalem Elementary School,1159,Beaverton SD 48J,2243,0.542,0.10099999999999999
Chenowith Elementary School,1093,North Wasco County SD 21,4131,0.866,0.23399999999999999
Cherry Park Elementary School,972,David Douglas SD 40,2187,0.33399999999999996,0.092
Chief Joseph Elementary School,840,Portland SD 1J,2180,0.491,0.22
Chiloquin Elementary School,468,Klamath County SD,2057,0.708,0.182
City View Charter School,4206,Hillsboro SD 1J,2239,0.45899999999999996,0.087
Clackamas River Elementary School,131,Estacada SD 108,1930,0.65,0.153
Clackamas Web Academy,4223,North Clackamas SD 12,1924,0.8,NA
Clarkes Elementary School,93,Molalla River SD 35,1925,0.4,0.107
Clatskanie Elementary School,163,Clatskanie SD 6J,1945,0.679,0.2
Clear Lake Elementary School,582,Bethel SD 52,2088,0.8109999999999999,0.179
Clear Lake Elementary School,734,Salem-Keizer SD 24J,2142,0.25,0.154
Cloverdale Elementary School,806,Cascade SD 5,2139,0.384,0.08
Coburg Community Charter School,507,Eugene SD 4J,2082,0.36,0.083
Colonel Wright Elementary School,1097,North Wasco County SD 21,4131,0.622,0.152
Colton Elementary School,103,Colton SD 53,1927,0.737,0.128
Columbia City School,179,St Helens SD 502,1948,0.348,0.25
Columbus Elementary School,1228,McMinnville SD 40,2256,0.474,0.071
Condon Elementary School,325,Condon SD 25J,2006,0.43799999999999994,0.063
Cooper Mountain Elementary School,1160,Beaverton SD 48J,2243,0.306,0.091
Coquille Valley Elementary,4025,Coquille SD 8,1964,0.46099999999999997,0.179
Corbett School,4592,Corbett SD 39,2186,0.5820000000000001,0.08199999999999999
Cornelius Elementary School,1128,Forest Grove SD 15,2241,0.915,0.11800000000000001
Corridor Elementary School,1242,Eugene SD 4J,2082,0.74,0.179
Cove Charter School,3434,Cove SD 15,2216,0.27799999999999997,0.059000000000000004
Crater Lake Charter Academy,5251,Eagle Point SD 9,2043,0.8,NA
Creative Science School,4640,Portland SD 1J,2180,0.625,0.1
Creslane Elementary School,570,Creswell SD 40,2086,0.495,0.168
Creston Elementary School,843,Portland SD 1J,2180,0.447,0.156
Crestview Heights School,623,Lincoln County SD,2097,0.8420000000000001,0.5
Crooked River Elementary School,219,Crook County SD,1970,0.58,0.149
Culver Elementary School,425,Culver SD 4,2050,0.5,0.16699999999999998
Cummings Elementary School,735,Salem-Keizer SD 24J,2142,0.705,0.16699999999999998
Dallas Community Charter,5298,Dallas SD 2,2190,0.772,NA
Danebo Elementary School,583,Bethel SD 52,2088,0.718,0.136
Davis Elementary School,949,Reynolds SD 7,2182,0.693,0.154
Days Creek Charter School,3348,Douglas County SD 15,1993,0.7859999999999999,0.077
Dayton Grade School,1211,Dayton SD 8,2253,0.531,0.16899999999999998
Deep Creek – Damascus K-8 School,90,Gresham-Barlow SD 10J,2183,0.41600000000000004,0.14300000000000002
Deer Creek Elementary School,1369,Tigard-Tualatin SD 23J,2242,0.638,0.12
Desert View Elementary School,3426,Hermiston SD 8,2206,0.41100000000000003,0.106
Dilley Elementary School,1129,Forest Grove SD 15,2241,0.34,0.22899999999999998
Douglas Gardens Elementary School,545,Springfield SD 19,2083,0.5720000000000001,0.11800000000000001
Driftwood Elementary School,228,Port Orford-Langlois SD 2CJ,1973,0.5,0.111
Dry Hollow Elementary School,1098,North Wasco County SD 21,4131,0.569,0.106
Dufur School,3402,Dufur SD 29,2229,0.455,NA
Dundee Elementary School,1216,Newberg SD 29J,2254,0.561,NA
Duniway Elementary School,844,Portland SD 1J,2180,0.29400000000000004,0.1
Durham Elementary School,1138,Tigard-Tualatin SD 23J,2242,0.278,0.11800000000000001
Eagle Charter School,4850,Oregon Department of Education,2336,0.583,0.174
Eagle Rock Elementary School,4020,Eagle Point SD 9,2043,0.551,0.063
Earl Boyles Elementary,3525,David Douglas SD 40,2187,0.535,0.083
East Gresham Elementary School,933,Gresham-Barlow SD 10J,2183,0.738,0.133
East Orient Elementary School,941,Gresham-Barlow SD 10J,2183,0.33299999999999996,0.11800000000000001
East Sutherlin Primary School,318,Sutherlin SD 130,2003,0.713,0.14300000000000002
Eastwood Elementary School,269,Douglas County SD 4,1991,0.6880000000000002,0.203
Eastwood Elementary School,1115,Hillsboro SD 1J,2239,0.789,0.09300000000000001
Echo School,3433,Echo SD 5,2203,0.32,NA
Echo Shaw Elementary School,1130,Forest Grove SD 15,2241,0.5539999999999999,0.121
Eddyville Charter School,3361,Lincoln County SD,2097,0.8419999999999999,0.316
Edgewood Community Elementary School,1774,Eugene SD 4J,2082,0.414,0.05
Edison Elementary School,510,Eugene SD 4J,2082,0.34,0.096
Edward Byrom Elementary School,1142,Tigard-Tualatin SD 23J,2242,0.275,NA
Edwards Elementary School,1217,Newberg SD 29J,2254,0.58,0.09699999999999999
Edy Ridge Elementary School,4730,Sherwood SD 88J,2244,0.198,0.052000000000000005
El Puente,4005,North Clackamas SD 12,1924,0.64,0.059000000000000004
Elizabeth Page Elementary School,546,Springfield SD 19,2083,0.408,0.113
Elk Meadow Elementary School,1308,Bend-LaPine Administrative SD 1,1976,0.344,0.18899999999999997
Elkton Charter School,302,Elkton SD 34,1998,0.5,0.35700000000000004
Elmira Elementary School,563,Fern Ridge SD 28J,2084,0.43200000000000005,0.10800000000000001
Elmonica Elementary School,1162,Beaverton SD 48J,2243,0.445,0.10400000000000001
Emerson School,3991,Portland SD 1J,2180,0.478,NA
Englewood Elementary School,736,Salem-Keizer SD 24J,2142,0.515,0.127
Ensworth Elementary School,4129,Bend-LaPine Administrative SD 1,1976,0.428,0.214
Enterprise Elementary School,1090,Enterprise SD 21,2221,0.47600000000000003,0.1
Errol Hassell Elementary School,1161,Beaverton SD 48J,2243,0.32299999999999995,0.157
Evergreen Elementary School,443,Three Rivers/Josephine County SD,2055,0.8059999999999999,0.21899999999999997
Ewing Young Elementary School,1218,Newberg SD 29J,2254,0.256,NA
Eyre Elementary School,751,Salem-Keizer SD 24J,2142,0.639,0.136
Fairfield Elementary School,584,Bethel SD 52,2088,0.764,NA
Fairview Elementary School,945,Reynolds SD 7,2182,0.604,0.28800000000000003
Family School,1339,Eugene SD 4J,2082,0.517,0.379
Farmington View Elementary School,1189,Hillsboro SD 1J,2239,0.465,0.11900000000000001
Faubion Elementary School,847,Portland SD 1J,2180,0.789,0.127
Faulconer-Chapman School,1235,Sheridan SD 48J,2257,0.63,0.159
Ferguson Elementary School,470,Klamath County SD,2057,0.32299999999999995,0.20600000000000002
Fern Hill Elementary School,3986,Forest Grove SD 15,2241,0.696,0.109
Findley Elementary,1370,Beaverton SD 48J,2243,0.051,NA
Fir Grove Elementary School,270,Douglas County SD 4,1991,0.28,0.09300000000000001
Fir Grove Elementary School,1163,Beaverton SD 48J,2243,0.47700000000000004,NA
Firwood Elementary School,101,Oregon Trail SD 46,1926,0.40399999999999997,0.14300000000000002
Forest Grove Community School,4595,Forest Grove SD 15,2241,0.45399999999999996,0.2
Forest Hills Elementary School,53,Lake Oswego SD 7J,1923,0.16699999999999998,0.055999999999999994
Forest Park Elementary School,2413,Portland SD 1J,2180,0.303,0.066
Forest Ridge Elementary School,3529,Salem-Keizer SD 24J,2142,0.5670000000000001,0.121
Fossil Charter School,1205,Fossil SD 21J,2248,0.715,0.217
Foster Elementary School,662,Sweet Home SD 55,2102,0.659,0.11599999999999999
Four Corners Elementary School,738,Salem-Keizer SD 24J,2142,0.85,0.152
Four Rivers Community School,4040,Oregon Department of Education,2336,0.615,0.08
Franklin School,1322,Corvallis SD 509J,1901,0.33299999999999996,0.16699999999999998
Free Orchards Elementary School,4641,Hillsboro SD 1J,2239,0.596,NA
Fremont/Hay Elementary School,490,Lake County SD 7,2059,0.575,0.244
Fruitdale Elementary School,445,Three Rivers/Josephine County SD,2055,0.35600000000000004,0.086
Ft Vannoy Elementary School,446,Three Rivers/Josephine County SD,2055,0.614,0.05
Fullerton IV Elementary School,271,Douglas County SD 4,1991,0.6,0.133
Gaffney Lane Elementary School,109,Oregon City SD 62,1928,0.616,0.136
Garfield Elementary School,30,Corvallis SD 509J,1901,0.616,0.147
Garibaldi Elementary School,1020,Neah-Kah-Nie SD 56,2198,0.654,0.20800000000000002
Gaston Elementary School,1194,Gaston SD 511J,2245,0.773,NA
Gearhart Elementary School,153,Seaside SD 10,1935,0.7169999999999999,0.154
Gervais Elementary School,776,Gervais SD 1,2137,0.6669999999999999,0.254
Gib Olinger Elementary School,5434,Milton-Freewater Unified SD 7,2205,0.664,0.243
Gilbert Heights Elementary School,973,David Douglas SD 40,2187,0.571,0.21100000000000002
Gilbert Park Elementary School,974,David Douglas SD 40,2187,0.7669999999999999,0.256
Gilchrist Elementary School,472,Klamath County SD,2057,0.572,0.263
Gilham Elementary School,513,Eugene SD 4J,2082,0.5,0.113
Glencoe Elementary School,850,Portland SD 1J,2180,0.305,0.11
Glendale Elementary School,306,Glendale SD 77,2000,0.938,0.14300000000000002
Glenfair Elementary School,946,Reynolds SD 7,2182,0.7310000000000001,0.258
Glide Elementary School,282,Glide SD 12,1992,0.644,0.138
Grandhaven Elementary School,2784,McMinnville SD 40,2256,0.309,0.10400000000000001
Grant Community School,740,Salem-Keizer SD 24J,2142,0.728,0.179
Grant Watts Elementary School,158,Scappoose SD 1J,1944,0.5489999999999999,0.121
Green Acres School,653,Lebanon Community SD 9,2101,0.6,0.19
Green Elementary School,272,Douglas County SD 4,1991,0.605,0.079
Greenway Elementary School,1157,Beaverton SD 48J,2243,0.6730000000000002,0.077
Greenwood Elementary School,1068,La Grande SD 1,2212,0.479,0.163
Gresham Arthur Academy,4601,Gresham-Barlow SD 10J,2183,0.31,NA
Griffin Creek Elementary School,408,Medford SD 549C,2048,0.652,0.061
Groner K-8,1152,Hillsboro SD 1J,2239,0.611,0.111
Grout Elementary School,854,Portland SD 1J,2180,0.517,0.127
Gubser Elementary School,745,Salem-Keizer SD 24J,2142,0.563,0.225
Guy Lee Elementary School,548,Springfield SD 19,2083,0.7809999999999999,0.132
Haines Elementary School,4,Baker SD 5J,1894,0.14300000000000002,0.14300000000000002
Hall Elementary School,936,Gresham-Barlow SD 10J,2183,0.857,0.228
Hallinan Elementary School,54,Lake Oswego SD 7J,1923,0.198,0.175
Hallman Elementary School,3377,Salem-Keizer SD 24J,2142,0.792,0.16699999999999998
Hamilton Creek School,658,Lebanon Community SD 9,2101,0.6859999999999999,0.237
Hammond Elementary School,3376,Salem-Keizer SD 24J,2142,0.5409999999999999,0.22399999999999998
Happy Valley Elementary School,4763,North Clackamas SD 12,1924,0.305,0.069
Harrisburg Elementary School,659,Harrisburg SD 7J,2099,0.609,0.114
Harrison Elementary School,576,South Lane SD 45J3,2087,0.645,NA
Harrison Park School,842,Portland SD 1J,2180,0.836,0.217
Harritt Elementary School,4068,Salem-Keizer SD 24J,2142,0.581,0.153
Hartley Elementary School,947,Reynolds SD 7,2182,0.705,0.151
Harvey Clarke Elementary School,1132,Forest Grove SD 15,2241,0.336,0.10800000000000001
